category,question
Retro Objects,Dial Telephone
Retro Objects,Typewriter
Retro Objects,Film Camera
Retro Objects,Rubik's Cube
Retro Objects,Game Boy
Retro Objects,Fax Machine
80s & 90s Entertainment,Michael Jackson Moonwalk
80s & 90s Entertainment,Madonna
80s & 90s Entertainment,Spice Girls
80s & 90s Entertainment,Backstreet Boys
80s & 90s Entertainment,Air Guitar
80s & 90s Entertainment,DJ Scratching Records
80s & 90s Entertainment,Jackie Chan
80s & 90s Entertainment,Bruce Lee
80s & 90s Entertainment,Elvis Presley
Retro Movies & TV,Top Gun
Retro Movies & TV,E.T.
Retro Movies & TV,Titanic
Retro Movies & TV,Power Rangers
Retro Movies & TV,Superman
Malaysian & ASEAN Nostalgia,Playing Congkak
Malaysian & ASEAN Nostalgia,Flying a Wau Kite
Malaysian & ASEAN Nostalgia,Riding a BMX Bicycle
Malaysian & ASEAN Nostalgia,Hopscotch (Teng-Teng)
Malaysian & ASEAN Nostalgia,Playing Batu Seremban
Bonus Round,Walkman
Bonus Round,Cassette Tape
Bonus Round,VHS Player
Bonus Round,Floppy Disk
Bonus Round,Pager
Bonus Round,Polaroid Camera
Bonus Round,Tamagotchi
Bonus Round,Radio Antenna
Bonus Round,Portable CD Player
Bonus Round,Breakdancing
Bonus Round,Karaoke Singing
Bonus Round,Rock Concert
Bonus Round,Boy Band Member
Bonus Round,P. Ramlee
Bonus Round,Sudirman
Bonus Round,Ghostbusters
Bonus Round,Back to the Future
Bonus Round,Jurassic Park
Bonus Round,Home Alone
Bonus Round,Mr. Bean
Bonus Round,Watching TV and Adjusting the Antenna
Bonus Round,Buying Ice Cream from a Motorcycle Vendor
Bonus Round,School Assembly
Bonus Round,Taking a Family Photo with a Film Camera
Bonus Round,Playing Arcade Games
